[2025-01-31 18:00:50,191] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node -1 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:58,997] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:59,051] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:59,052] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:06:59,172] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:59,173] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:06:59,404] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:59,404] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:06:59,852] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:06:59,852] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:07:00,785] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:07:00,786] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:07:01,788] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:07:01,789] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:07:02,790] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:07:02,790] WARN [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Connection to node 0 (localhost/127.0.0.1:9092) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient:849)
[2025-01-31 18:07:03,599] INFO Kafka Connect stopping (org.apache.kafka.connect.runtime.Connect:67)
[2025-01-31 18:07:03,599] INFO Stopping REST server (org.apache.kafka.connect.runtime.rest.RestServer:354)
[2025-01-31 18:07:03,609] INFO Stopped http_8083@2e36a6dc{HTTP/1.1, (http/1.1)}{0.0.0.0:8083} (org.eclipse.jetty.server.AbstractConnector:383)
[2025-01-31 18:07:03,610] INFO node0 Stopped scavenging (org.eclipse.jetty.server.session:149)
[2025-01-31 18:07:03,614] INFO Stopped o.e.j.s.ServletContextHandler@7da91d88{/,null,STOPPED} (org.eclipse.jetty.server.handler.ContextHandler:1159)
[2025-01-31 18:07:03,614] INFO REST server stopped (org.apache.kafka.connect.runtime.rest.RestServer:383)
[2025-01-31 18:07:03,614] INFO Herder stopping (org.apache.kafka.connect.runtime.standalone.StandaloneHerder:116)
[2025-01-31 18:07:03,615] INFO [mqtt-source|task-0] Stopping task mqtt-source-0 (org.apache.kafka.connect.runtime.Worker:1047)
[2025-01-31 18:07:03,629] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Closing the Kafka producer with timeoutMillis = 30000 ms. (org.apache.kafka.clients.producer.KafkaProducer:1373)
[2025-01-31 18:07:03,634] INFO [mqtt-source|task-0] Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics:684)
[2025-01-31 18:07:03,634] INFO [mqtt-source|task-0] Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics:688)
[2025-01-31 18:07:03,634] INFO [mqtt-source|task-0] Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter (org.apache.kafka.common.metrics.Metrics:688)
